core_name,lon,lat,holocene_dD,holocene_dD_1serr,lgm_dD,lgm_dD_1serr,lig_dD,lig_dD_1serr
DSDP_480_479,-111.62,27.85,-143.33499999999998,3.674999999999997,-150.3166666666667,2.2608159785548434,-143.14894736842106,4.001166796582221
NH22P,-106.5183,22.5183,-150.67,0.0,-146.07875,2.8270896585534775,-140.51833333333335,2.4664712760450977
