core_name,lon,lat,holocene_dD,holocene_dD_1serr,lgm_dD,lgm_dD_1serr,lig_dD,lig_dD_1serr
DSDP_480_479,-111.62,27.85,-51.24,5.13,-58.98,3.99,-51.05,5.5
NH22P,-106.5183,22.5183,-59.34,3.3,-54.33,4.72,-48.04,4.37
