site,depth_native_cm,depth_composite_cm,dated,age_ka,age_2s_lo_ka,age_2s_hi_ka,artemisia_juniper_pct,poaceae_pct,pinus_pct,juniperus_type_pct,quercus_pct,artemisia_pct,ambrosia_pct,asteraceae_high_pct,amaranthaceae_pct,byrne_clam_age_ka
DSDP-480,2310,2310,True,37.0456087,33.57657888,40.83150996,18.42105263,7.585139319,14.70588235,14.70588235,10.83591331,3.715170279,23.83900929,3.715170279,8.204334365,30.597
DSDP-480,2410,2410,True,39.84526371,36.390469,43.91884657,23.90572391,3.569023569,19.73063973,15.35353535,3.905723906,8.552188552,23.56902357,2.760942761,13.67003367,31.765
DSDP-480,2490,2490,True,42.30784511,38.29627936,46.93204944,21.97802198,6.153846154,25.71428571,15.6043956,5.934065934,6.373626374,24.3956044,2.857142857,8.571428571,32.638
DSDP-480,2510,2510,True,42.94300978,38.78288281,47.70680116,7.635009311,8.00744879,27.0018622,2.420856611,7.262569832,5.2141527,26.0707635,3.351955307,12.29050279,32.847
DSDP-480,2540,2540,True,43.90024836,39.57913033,48.82576832,17.7377892,10.02570694,31.36246787,15.68123393,5.141388175,2.05655527,14.6529563,2.570694087,7.712082262,33.154
DSDP-480,2560,2560,True,44.53321436,40.13951328,49.52551841,23.36874052,3.641881639,15.3262519,16.99544765,6.525037936,6.373292868,20.48558422,3.793626707,13.80880121,33.355
DSDP-480,2640,2640,True,47.04176486,42.26807568,52.25309398,25.81344902,6.724511931,15.40130152,22.99349241,12.5813449,2.819956616,18.65509761,1.952277657,9.761388286,34.12
DSDP-480,2710,2710,True,49.21913146,44.32277627,54.67379523,10.79295154,3.744493392,27.53303965,7.709251101,5.50660793,3.083700441,30.39647577,4.185022026,12.11453744,34.743
DSDP-480,2750,2750,True,50.44477797,45.45872651,56.17999127,19.26444834,7.355516637,14.01050788,15.76182137,6.830122592,3.50262697,28.8966725,3.327495622,11.9089317,35.08
DSDP-480,2800,2800,True,51.9594371,46.90098334,57.82300455,9.77443609,4.010025063,29.8245614,8.521303258,11.02756892,1.253132832,26.81704261,1.253132832,8.521303258,35.484
DSDP-480,2890,2890,True,54.78784829,49.34285362,60.71210174,16.9047619,8.333333333,20.95238095,14.76190476,7.857142857,2.142857143,23.80952381,3.80952381,6.428571429,36.164
DSDP-480,2920,2920,True,55.73485203,50.29527767,61.684899,12.59640103,7.969151671,17.48071979,11.8251928,10.28277635,0.7712082262,24.67866324,1.542416452,10.53984576,36.378
DSDP-480,2960,2960,True,57.0195194,51.50912405,63.02203507,10.51660517,8.856088561,23.98523985,8.487084871,9.040590406,2.029520295,22.1402214,4.42804428,11.0701107,36.654
DSDP-480,2990,2990,True,57.93730088,52.41865812,63.90651887,12.10526316,8.157894737,21.84210526,9.473684211,10,2.631578947,28.42105263,1.315789474,10,36.854
DSDP-480,3030,3030,True,59.18032382,53.59745688,65.16334856,15.80310881,9.585492228,12.69430052,12.43523316,5.699481865,3.367875648,25.90673575,3.626943005,11.91709845,37.113
DSDP-480,3040,3040,True,59.49206717,53.89008173,65.48377591,5.693069307,9.158415842,33.66336634,2.722772277,3.465346535,2.97029703,17.57425743,1.237623762,12.87128713,37.176
DSDP-480,3090,3090,True,61.00639744,55.29811778,67.07432225,14.09836066,10.49180328,16.06557377,11.47540984,6.557377049,2.62295082,26.8852459,1.967213115,11.47540984,37.483
DSDP-480,3120,3120,True,61.98363392,56.24761542,68.02777681,10.625,8.75,20.625,8.125,9.375,2.5,28.125,3.125,6.5625,37.661
DSDP-480,3180,3180,True,63.79970271,58.21166328,69.84984771,8.982035928,6.886227545,15.26946108,8.982035928,10.77844311,0,31.43712575,3.293413174,9.580838323,38.003
DSDP-480,3230,3230,True,65.33270039,59.87364405,71.41371668,8.009708738,4.854368932,27.66990291,7.281553398,9.466019417,0.7281553398,31.31067961,0.9708737864,8.737864078,38.275
DSDP-480,3260,3260,True,66.25102664,60.82048837,72.39843372,16.98956781,5.514157973,17.4366617,12.81669151,5.067064083,4.172876304,28.46497765,2.384500745,15.79731744,38.433
DSDP-480,3350,3350,True,68.99022144,63.92754655,75.15422444,7.836990596,6.269592476,19.12225705,5.015673981,11.91222571,2.821316614,29.46708464,3.448275862,11.28526646,38.885
DSDP-480,3380,3380,True,69.88666721,64.9135993,76.05229454,13.78091873,9.187279152,15.19434629,10.9540636,7.597173145,2.826855124,26.14840989,3.356890459,10.77738516,39.03
DSDP-480,3500,3500,True,74.21150238,69.30606464,80.60660125,19.94382022,5.617977528,32.86516854,15.73033708,6.741573034,4.213483146,13.76404494,1.404494382,12.07865169,39.583
DSDP-480,3540,3540,True,75.83768106,70.50631372,82.37633429,13.4751773,4.255319149,35.10638298,11.34751773,1.418439716,2.127659574,17.37588652,1.773049645,18.08510638,39.759
DSDP-480,3570,3570,True,77.05417574,71.47054276,83.64864823,5.164319249,14.08450704,18.30985915,4.225352113,6.103286385,0.9389671362,23.4741784,0.9389671362,18.30985915,39.889
DSDP-480,3690,3690,True,82.33356239,75.61412864,89.13712859,4.984423676,6.542056075,18.69158879,3.738317757,1.246105919,1.246105919,28.03738318,4.049844237,27.7258567,40.398
DSDP-480,3730,3730,True,84.03068563,77.11477567,90.83134523,12.68436578,8.849557522,10.32448378,10.32448378,0,2.359882006,29.49852507,1.474926254,23.00884956,40.564
DSDP-480,3920,3920,True,92.06123306,83.45819402,98.3979579,4.291845494,11.58798283,13.30472103,2.360515021,3.21888412,1.931330472,20.60085837,3.862660944,27.89699571,41.354
DSDP-480,4070,4070,True,98.42166206,89.03519544,104.2693633,6.369426752,7.006369427,9.872611465,4.777070064,2.866242038,1.592356688,35.66878981,4.777070064,23.24840764,42.002
DSDP-480,4310,4310,True,108.6955437,97.79774382,113.0005533,8.679245283,7.169811321,10.94339623,7.169811321,3.773584906,1.509433962,15.09433962,1.886792453,41.13207547,43.148
DSDP-480,4340,4340,True,109.776655,98.51335372,114.2444701,11.29568106,8.305647841,13.28903654,10.63122924,2.657807309,0.6644518272,15.94684385,2.990033223,26.57807309,43.305
DSDP-480,4410,4410,True,112.0997095,100.4209201,117.0818151,8.011869436,14.83679525,13.35311573,6.528189911,5.341246291,1.483679525,11.5727003,1.78041543,27.59643917,43.686
DSDP-480,4450,4450,True,113.4865866,101.5866042,118.6127156,11.27982646,13.23210412,10.84598698,10.62906725,3.687635575,0.6507592191,17.57049892,0.8676789588,24.07809111,43.914
DSDP-480,4530,4530,True,116.2991986,103.8857611,121.4827484,6.370656371,21.04247104,11.1969112,5.405405405,3.667953668,0.9652509653,12.93436293,1.737451737,24.32432432,44.393
DSDP-480,4600,4600,True,118.7867299,105.5895165,123.7371024,10.0204499,17.99591002,8.588957055,9.81595092,2.249488753,0.2044989775,17.38241309,2.249488753,21.06339468,44.842
DSDP-480,4680,4680,True,120.8779589,107.2396006,125.9390833,1.570680628,10.9947644,26.70157068,1.570680628,7.853403141,0,17.27748691,2.617801047,15.18324607,45.391
DSDP-479,4290,5290,True,123.7412577,121.0731785,126.1633355,12.94642857,5.580357143,8.258928571,12.5,4.241071429,0.4464285714,37.27678571,3.571428571,6.696428571,51.067
DSDP-480,4810,4810,True,124.1282165,110.0471209,129.1468178,4.661016949,18.22033898,11.01694915,3.813559322,3.813559322,0.8474576271,27.54237288,3.813559322,12.28813559,46.375
DSDP-480,4840,4840,True,124.8749725,110.7815907,129.9275154,2.868852459,8.606557377,27.04918033,1.639344262,0.8196721311,1.229508197,25.81967213,3.68852459,13.52459016,46.619
DSDP-480,4850,4850,True,125.0935947,111.0029521,130.2041095,6.050955414,13.69426752,9.872611465,5.095541401,2.866242038,0.9554140127,27.70700637,3.503184713,17.19745223,46.702
DSDP-480,4890,4890,True,125.8696209,111.8853703,131.1640941,6.965174129,16.41791045,17.91044776,4.975124378,4.47761194,1.990049751,16.41791045,1.990049751,14.92537313,47.04
DSDP-479,4440,5440,True,126.7443873,124.0844989,129.2106088,22.58726899,0.4106776181,9.856262834,21.14989733,4.517453799,1.437371663,37.37166324,4.31211499,6.776180698,52.881
DSDP-479,4590,5590,True,129.7652402,127.1295446,132.3100524,30.49907579,3.14232902,7.948243993,29.2051756,4.436229205,1.293900185,31.23844732,2.033271719,12.01478743,54.854
DSDP-479,4740,5740,True,132.8275474,130.0250215,135.6018435,18.95734597,1.421800948,20.37914692,17.06161137,1.658767773,1.895734597,21.56398104,4.265402844,18.2464455,56.983
DSDP-479,4890,5890,True,135.9098713,132.7452777,138.9989679,23.65010799,4.319654428,14.47084233,20.19438445,4.211663067,3.455723542,26.99784017,2.807775378,13.39092873,59.24
DSDP-479,5240,6240,True,142.8428359,138.8350964,147.2199734,39.03903904,3.003003003,15.61561562,30.03003003,3.603603604,9.009009009,17.11711712,3.903903904,9.009009009,64.611
DSDP-479,5540,6540,True,148.835073,144.1475421,154.0181451,29.66666667,4.333333333,15.66666667,24.83333333,5.5,4.833333333,20.83333333,2.5,12.16666667,68.943
DSDP-479,5690,6690,True,151.8417612,146.8346559,157.2591307,13.18101933,9.666080844,21.96836555,11.07205624,4.217926186,2.108963093,20.91388401,2.108963093,15.28998243,70.994
DSDP-480,10,10,False,,,,3.80761523,11.82364729,8.817635271,2.004008016,6.813627255,1.803607214,27.65531062,4.008016032,21.44288577,1.133
DSDP-479,5830,6830,False,,,,25.44247788,8.407079646,15.37610619,19.80088496,5.088495575,5.64159292,21.12831858,1.438053097,13.16371681,72.843
DSDP-479,5960,6960,False,,,,21.80451128,10.02506266,19.79949875,17.29323308,3.50877193,4.511278195,19.29824561,3.50877193,9.77443609,74.512
DSDP-479,6030,7030,False,,,,11.84210526,1.315789474,7.236842105,10.19736842,8.552631579,1.644736842,26.31578947,2.960526316,25,75.395
DSDP-479,6180,7180,False,,,,6.07028754,0.6389776358,3.833865815,5.750798722,5.750798722,0.3194888179,25.87859425,3.514376997,37.06070288,77.255
DSDP-479,6330,7330,False,,,,6.269592476,2.194357367,7.836990596,5.642633229,12.53918495,0.6269592476,21.63009404,1.880877743,23.51097179,79.083
DSDP-479,6480,7480,False,,,,11.89591078,4.089219331,14.12639405,8.921933086,8.921933086,2.973977695,27.13754647,3.345724907,16.72862454,80.888
DSDP-479,6640,7640,False,,,,25.06963788,1.114206128,3.621169916,19.49860724,14.20612813,5.571030641,30.36211699,3.342618384,9.749303621,82.8
DSDP-479,6780,7780,False,,,,30.86419753,1.851851852,10.49382716,25.92592593,8.024691358,4.938271605,21.60493827,4.320987654,12.96296296,84.471
DSDP-479,6980,7980,False,,,,25.71428571,1.785714286,4.285714286,18.92857143,21.07142857,6.785714286,19.28571429,6.071428571,11.42857143,86.858
DSDP-479,7130,8130,False,,,,29.3598234,2.428256071,10.37527594,22.07505519,7.284768212,7.284768212,29.13907285,2.207505519,9.933774834,88.65
DSDP-479,7280,8280,False,,,,10.64638783,1.520912548,1.901140684,6.463878327,11.40684411,4.182509506,27.37642586,4.182509506,26.61596958,90.447
DSDP-479,7430,8430,False,,,,4.861111111,3.472222222,3.819444444,4.166666667,9.722222222,0.6944444444,44.79166667,3.125,15.625,92.246
DSDP-479,7590,8590,False,,,,7.826086957,3.043478261,4.347826087,6.086956522,7.391304348,1.739130435,38.26086957,4.347826087,21.73913043,94.166
DSDP-479,7930,8930,False,,,,9.065155807,2.549575071,5.382436261,6.798866856,5.099150142,2.266288952,44.7592068,3.966005666,20.11331445,98.249
DSDP-479,8080,9080,False,,,,6.430868167,4.501607717,6.430868167,5.466237942,5.78778135,0.9646302251,16.39871383,2.250803859,36.33440514,100.052
DSDP-479,8230,9230,False,,,,12.7388535,7.006369427,7.324840764,12.42038217,4.777070064,0.3184713376,28.34394904,4.140127389,19.42675159,101.857
DSDP-479,8380,9380,False,,,,18.2194617,4.968944099,6.418219462,16.97722567,9.316770186,1.242236025,21.5320911,3.105590062,16.97722567,103.664
DSDP-479,8560,9560,False,,,,23.64864865,2.027027027,12.38738739,22.07207207,6.306306306,1.576576577,37.38738739,2.477477477,6.306306306,105.837
DSDP-479,8670,9670,False,,,,38.18350324,1.297497683,11.67747915,31.51065802,5.653382762,6.672845227,21.22335496,2.96570899,11.30676552,107.167
DSDP-479,8830,9830,False,,,,15.84507042,8.098591549,13.73239437,13.38028169,4.225352113,2.464788732,22.88732394,1.408450704,22.18309859,109.103
DSDP-479,9030,10030,False,,,,7.142857143,6.696428571,2.678571429,7.142857143,12.94642857,0,15.17857143,4.017857143,27.67857143,111.524
DSDP-479,9160,10160,False,,,,6.194690265,3.982300885,3.982300885,4.867256637,11.50442478,1.327433628,17.69911504,3.097345133,32.74336283,113.098
DSDP-479,9310,10310,False,,,,9.454545455,8.363636364,6.545454545,8,9.090909091,1.454545455,23.63636364,1.454545455,21.81818182,114.915
DSDP-479,9830,10830,False,,,,13.97590361,4.819277108,4.096385542,12.04819277,8.674698795,1.927710843,35.18072289,2.65060241,13.97590361,121.211
DSDP-479,9960,10960,False,,,,14.49511401,5.863192182,5.048859935,12.70358306,6.351791531,1.791530945,40.87947883,1.791530945,16.28664495,122.785
DSDP-479,10130,11130,False,,,,15.35433071,3.937007874,4.724409449,12.5984252,11.81102362,2.755905512,23.62204724,4.330708661,20.07874016,124.844
DSDP-479,10280,11280,False,,,,14.54081633,5.612244898,5.612244898,13.7755102,7.908163265,0.7653061224,29.59183673,2.551020408,20.15306122,126.66
DSDP-479,10430,11430,False,,,,23.06034483,3.232758621,6.681034483,20.25862069,10.56034483,2.801724138,23.27586207,4.310344828,13.57758621,128.477
DSDP-479,10700,11700,False,,,,27.99043062,1.674641148,13.87559809,24.88038278,11.00478469,3.110047847,15.07177033,2.870813397,17.22488038,131.746
DSDP-479,10780,11780,False,,,,23.51421189,3.359173127,4.392764858,21.70542636,4.392764858,1.80878553,36.69250646,3.617571059,12.66149871,132.715
DSDP-479,10930,11930,False,,,,19.44444444,3.472222222,4.62962963,17.82407407,5.092592593,1.62037037,33.7962963,4.62962963,17.59259259,134.531
DSDP-479,11150,12150,False,,,,15.04065041,3.25203252,10.16260163,13.82113821,3.658536585,1.219512195,39.43089431,3.658536585,15.04065041,137.195
